Responden,Skenario,ASQ_1,ASQ_2,ASQ_3,Rata_rata
R01,S1,7,7,7,7.0
R01,S2,7,7,7,7.0
R02,S1,5,5,6,5.33
R02,S2,5,5,6,5.33
R03,S1,4,4,4,4.0
R03,S2,4,4,4,4.0
R04,S1,7,7,7,7.0
R04,S2,5,5,5,5.0
R05,S1,7,7,5,6.33
R05,S2,7,7,7,7.0
R06,S1,7,7,7,7.0
R06,S2,7,7,7,7.0
R07,S1,4,4,4,4.0
R07,S2,4,4,4,4.0
R08,S1,7,7,6,6.67
R08,S2,6,7,7,6.67
R09,S1,7,7,7,7.0
R09,S2,7,7,7,7.0
R10,S1,7,7,7,7.0
R10,S2,7,7,7,7.0
R11,S1,6,7,5,6.0
R11,S2,7,6,6,6.33
R12,S1,3,4,4,3.67
R12,S2,4,4,4,4.0
R13,S1,2,3,2,2.33
R13,S2,6,7,6,6.33
R14,S1,4,4,4,4.0
R14,S2,4,4,4,4.0
R15,S1,6,6,6,6.0
R15,S2,6,6,6,6.0
R16,S1,7,7,7,7.0
R16,S2,7,7,7,7.0
R17,S1,7,7,7,7.0
R17,S2,4,4,4,4.0
R18,S1,6,6,7,6.33
R18,S2,4,7,5,5.33
R19,S1,4,4,4,4.0
R19,S2,4,4,4,4.0
R20,S1,6,6,5,5.67
R20,S2,7,7,5,6.33
R21,S1,7,7,7,7.0
R21,S2,7,7,7,7.0
R22,S1,7,7,7,7.0
