Responden,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10,Skor_SUS,Interpretasi
R01,5,1,5,1,5,1,5,1,5,1,100.0,Excellent
R02,4,2,5,3,4,2,4,2,2,4,65.0,Marginal
R03,3,3,3,3,3,3,3,3,3,3,50.0,Marginal
R04,4,3,3,2,4,3,4,2,4,2,67.5,Marginal
R05,4,3,2,5,3,2,3,3,3,3,47.5,Poor
R06,5,1,5,1,5,1,5,1,5,1,100.0,Excellent
R07,3,4,3,2,3,4,3,4,2,4,40.0,Poor
R08,4,1,5,3,5,1,5,1,5,2,90.0,Excellent
R09,5,1,5,5,5,1,5,1,5,4,82.5,Excellent
R10,5,5,5,5,5,5,5,5,5,5,50.0,Marginal
R11,5,1,5,1,4,2,3,1,5,5,80.0,Good
R12,2,4,2,2,2,4,3,3,3,3,40.0,Poor
R13,5,5,5,5,5,4,5,5,5,5,52.5,Marginal
R14,3,3,3,3,3,3,3,3,3,3,50.0,Marginal
R15,4,1,4,1,3,1,4,1,5,1,87.5,Excellent
R16,5,5,5,5,5,5,5,5,5,5,50.0,Marginal
R17,3,1,5,1,3,3,4,1,4,2,77.5,Good
R18,5,1,5,1,5,2,5,1,5,2,95.0,Excellent
R19,3,3,3,3,3,3,3,3,3,3,50.0,Marginal
R20,4,2,4,2,5,2,4,1,5,5,75.0,Good
R21,5,1,5,1,5,1,5,1,5,1,100.0,Excellent
,,,,,,,,,,,,

Rata-rata Keseluruhan,,,,,,,,,,69.05,Good
