config_name,gate_count,disabled_gates,n_questions,precision_at_3,recall_at_3,hit_rate_at_3,citation_coverage,citation_correctness,fallback_correctness,attack_success_rate,faithfulness_score,answer_relevance_score,average_latency_ms,p95_latency_ms
gates_all,5,,41,0.0,0.0,0.0,0.3902439024390244,0.125,0.926829268292683,0.0,0.7214285714285714,0.7464285714285713,7167.804878048781,18220.0
gates_none,0,"1,2,3,4,5",41,0.0,0.0,0.0,0.6585365853658537,0.37037037037037035,0.4146341463414634,1.0,0.7782051282051282,0.7833333333333333,5654.536585365854,7159.0
gates_1,1,"2,3,4,5",41,0.0,0.0,0.0,0.5609756097560976,0.2608695652173913,0.7073170731707317,0.1,0.853448275862069,0.9310344827586207,4074.560975609756,6605.0
gates_1_2,2,"3,4,5",41,0.0,0.0,0.0,0.5853658536585366,0.2916666666666667,0.7073170731707317,0.1,0.903448275862069,0.9310344827586207,4027.2195121951218,6910.0
gates_1_2_3,3,"4,5",41,0.0,0.0,0.0,0.5609756097560976,0.2608695652173913,0.7073170731707317,0.1,0.8793103448275862,0.9413793103448276,4172.243902439024,6960.0
gates_1_2_3_4,4,5,41,0.0,0.0,0.0,0.43902439024390244,0.16666666666666666,0.7073170731707317,0.1,0.6185185185185185,0.6555555555555556,4230.09756097561,8089.0
gates_all_minus_1,4,1,41,0.0,0.0,0.0,0.4634146341463415,0.21052631578947367,0.926829268292683,0.1,0.746875,0.79375,10933.975609756097,35059.0
gates_all_minus_2,4,2,41,0.0,0.0,0.0,0.4146341463414634,0.11764705882352941,0.9512195121951219,0.0,0.8333333333333334,0.92,5676.682926829269,14826.0
gates_all_minus_3,4,3,41,0.0,0.0,0.0,0.3902439024390244,0.125,0.926829268292683,0.0,0.8321428571428572,0.85,6166.707317073171,17752.0
gates_all_minus_4,4,4,41,0.0,0.0,0.0,0.4878048780487805,0.25,0.7317073170731707,0.1,0.9187500000000001,0.9166666666666666,7126.609756097561,18557.0
