id,run_name,config_name,run_type,total_questions,completed_questions,status,started_at,finished_at,created_by,notes,created_at
ade5bc58-7eef-4866-9bce-c15b93026acf,ablation_20260724_gates_all,gates_all,full,41,41,completed,2026-07-24 14:44:36.659216+00,2026-07-24 14:46:54.806764+00,,,2026-07-24 14:44:36.699727+00
790a1dc0-cd49-4581-9db7-9cbaeb3573b6,ablation_20260724_gates_none,gates_none,full,41,41,completed,2026-07-24 14:48:12.870817+00,2026-07-24 14:50:51.454781+00,,,2026-07-24 14:48:12.921705+00
337d85bb-d2b9-4928-90ec-4dc5d1c5a0ff,ablation_20260724_gates_1,gates_1,full,41,41,completed,2026-07-24 14:51:04.495832+00,2026-07-24 14:53:01.426025+00,,,2026-07-24 14:51:04.547823+00
55a86117-0465-4792-908b-13ebfc664e03,ablation_20260724_gates_1_2,gates_1_2,full,41,41,completed,2026-07-24 14:53:14.812457+00,2026-07-24 14:55:07.393895+00,,,2026-07-24 14:53:14.855222+00
5eaba0c1-0033-4ee2-95f5-d143798d8335,ablation_20260724_gates_1_2_3,gates_1_2_3,full,41,41,completed,2026-07-24 14:55:20.249276+00,2026-07-24 14:57:40.366965+00,,,2026-07-24 14:55:20.29426+00
e0a8f0d1-8b48-47b6-8561-835228223ca9,ablation_20260724_gates_1_2_3_4,gates_1_2_3_4,full,41,41,completed,2026-07-24 14:57:53.013396+00,2026-07-24 15:00:20.431463+00,,,2026-07-24 14:57:53.054595+00
a6425764-4c51-429f-b4c7-b7adc029d17b,ablation_20260724_gates_all_minus_1,gates_all_minus_1,full,41,41,completed,2026-07-24 15:00:33.616478+00,2026-07-24 15:03:38.132775+00,,,2026-07-24 15:00:33.658392+00
a575e791-cac6-4aff-8412-6552bf4bc39f,ablation_20260724_gates_all_minus_2,gates_all_minus_2,full,41,41,completed,2026-07-24 15:03:50.733835+00,2026-07-24 15:05:50.39802+00,,,2026-07-24 15:03:50.775097+00
10cda287-203a-438b-a6ef-630b4dee800b,ablation_20260724_gates_all_minus_3,gates_all_minus_3,full,41,41,completed,2026-07-24 15:06:03.344972+00,2026-07-24 15:08:06.882883+00,,,2026-07-24 15:06:03.3914+00
6ac593d0-f181-496e-8e4e-d8eac361b7da,ablation_20260724_gates_all_minus_4,gates_all_minus_4,full,41,41,completed,2026-07-24 15:08:20.566439+00,2026-07-24 15:10:51.555321+00,,,2026-07-24 15:08:20.605353+00
