id,participant_code,session_id,sus_1,sus_2,sus_3,sus_4,sus_5,sus_6,sus_7,sus_8,sus_9,sus_10,sus_score,notes,created_at
4ae8eb30-fa6e-4ae8-823d-211e23a43732,R01,d9da59f4-d58a-43ef-975f-d323e9d3b52a,5,1,5,1,5,1,5,1,5,1,100,,2026-07-12 01:37:39.840295+00
ebb76459-78e4-4a59-be57-8cbe0b5ab002,R02,8ead99df-9f0a-426e-9487-63775fffd912,4,2,5,3,4,2,4,2,2,4,65,,2026-07-12 03:28:20.374519+00
deba881b-c88a-4026-94d4-713937519fe1,R03,7b10670b-4a88-4ec3-9869-65df3059a35d,3,3,3,3,3,3,3,3,3,3,50,,2026-07-12 03:45:59.604864+00
6583f22d-d591-461b-bb80-b7716de47577,R04,40f8766d-0ad7-45ee-bec9-442597fe087a,4,3,3,2,4,3,4,2,4,2,67.5,,2026-07-12 03:46:10.630743+00
714a8a18-d435-4454-9e0c-b9d19a92d9b6,R05,ec1dc199-a518-41a4-9e4e-1fbb6658c940,4,3,2,5,3,2,3,3,3,3,47.5,,2026-07-12 03:53:02.495293+00
e31bb356-9fce-4783-a078-c8f9ec75169c,R06,d7e8fa0f-faa7-4ac1-b2d3-6c285ab83e0a,5,1,5,1,5,1,5,1,5,1,100,,2026-07-12 04:00:40.65598+00
7bdf7a57-20a7-4a7b-baaa-deb9c3b00f35,R07,f551cf53-5be0-46c3-9f96-1c5f0590036a,3,4,3,2,3,4,3,4,2,4,40,,2026-07-12 04:08:21.631734+00
004b9473-ace3-469f-bcc5-b2e851db4e48,R08,a2c12617-7ee8-4140-9844-1b3b1d11bba2,4,1,5,3,5,1,5,1,5,2,90,,2026-07-12 04:23:46.256174+00
515ac6d1-f901-4169-b8c5-449186aa35ae,R09,d623f403-f7fc-45a3-92d6-d55a754cfaca,5,1,5,5,5,1,5,1,5,4,82.5,,2026-07-12 04:47:12.000937+00
02216cd7-2586-45e6-b2f2-034041a5282f,R10,b325558e-4324-41bd-a753-540cf7d22b26,5,5,5,5,5,5,5,5,5,5,50,,2026-07-12 06:33:30.237252+00
468c98c5-9ca5-4818-9f3b-fb9b418264e7,R11,8cef5518-bc7c-4a57-bad2-fe5df41ff614,5,1,5,1,4,2,3,1,5,5,80,,2026-07-12 06:42:48.676844+00
626832a7-506e-4e35-81b1-817dd287f6a1,R12,e532659b-03b5-4d11-ac2c-7846f196bbdd,2,4,2,2,2,4,3,3,3,3,40,,2026-07-12 07:13:31.388819+00
c22dcc58-172e-4ab6-8634-0bc3010871b9,R13,30e4370e-7bcf-46df-b8bb-b71164811275,5,5,5,5,5,4,5,5,5,5,52.5,,2026-07-12 07:31:30.054094+00
dbb184dc-e9ab-4c1d-98e8-d869b90232e9,R14,a71c4d48-f028-4185-89ba-e6dcf365f1c6,3,3,3,3,3,3,3,3,3,3,50,,2026-07-12 07:43:29.492933+00
f2a3a2a6-23cc-4e42-84ba-9bee834fc323,R15,163d9160-56fc-4ab9-b9b6-0143c09ce07a,4,1,4,1,3,1,4,1,5,1,87.5,,2026-07-12 07:55:50.874996+00
fc664155-d005-4d22-95d4-74e75daf49b0,R16,3b10f5d7-e912-46f0-85ba-606b74f2c4a4,5,5,5,5,5,5,5,5,5,5,50,,2026-07-12 08:10:26.662506+00
9d79fea2-b186-472e-a0e3-b26c390bcb73,R17,1bf7d126-8800-4155-925b-cbc77efe823f,3,1,5,1,3,3,4,1,4,2,77.5,,2026-07-12 08:11:32.966461+00
16c1d307-c20c-4b9a-b14f-eeab060bb49d,R18,1334557f-4d42-40e4-80d4-2aa48d5bc75c,5,1,5,1,5,2,5,1,5,2,95,,2026-07-12 09:03:13.583405+00
39b273fc-69c0-4e3e-86e4-1617eac01a26,R19,e11d0318-ba54-4cd5-ae98-377bc88dc15b,3,3,3,3,3,3,3,3,3,3,50,,2026-07-12 09:19:37.584247+00
39158506-77b8-4df9-ac69-3c73dcb7c381,R20,db08b692-c15d-443d-85c4-2f91fb25ca33,4,2,4,2,5,2,4,1,5,5,75,,2026-07-12 10:21:41.412926+00
8fcca622-4c1d-4600-b40b-9f0f3dc131f0,R21,d9da59f4-d58a-43ef-975f-d323e9d3b52a,5,1,5,1,5,1,5,1,5,1,100,,2026-07-15 05:37:58.863848+00
