id,run_name,config_name,run_type,total_questions,completed_questions,status,started_at,finished_at,created_by,notes,created_at
ed8497cf-9a4f-4a76-869f-9ab55a1ac07f,refresh_20260725b_gates_none,gates_none,full,41,41,completed,2026-07-25 11:46:12.545856+00,2026-07-25 11:48:04.192433+00,,,2026-07-25 11:46:12.590799+00
1f7e1351-0d50-4280-b376-b9fa690e82d9,refresh_20260725b_gates_1,gates_1,full,41,41,completed,2026-07-25 11:48:19.341311+00,2026-07-25 11:49:36.554685+00,,,2026-07-25 11:48:19.383629+00
e19306fb-e3b6-4cd6-8b88-d8a0434b4870,refresh_20260725b_gates_1_2,gates_1_2,full,41,41,completed,2026-07-25 11:49:49.846178+00,2026-07-25 11:51:07.472381+00,,,2026-07-25 11:49:49.888867+00
6c71930f-e956-4925-99ca-ec26830ddb83,refresh_20260725b_gates_1_2_3,gates_1_2_3,full,41,41,completed,2026-07-25 11:51:20.280663+00,2026-07-25 11:52:39.776498+00,,,2026-07-25 11:51:20.321624+00
b2e80398-0129-49f0-abba-49b780f64eb9,refresh_20260725b_gates_1_2_3_4,gates_1_2_3_4,full,41,41,completed,2026-07-25 11:52:52.66614+00,2026-07-25 11:54:10.838285+00,,,2026-07-25 11:52:52.707314+00
34323e81-618e-42d7-9a78-190e5ba52ca6,refresh_20260725b_gates_all_minus_1,gates_all_minus_1,full,41,41,completed,2026-07-25 11:54:23.784711+00,2026-07-25 11:55:58.365164+00,,,2026-07-25 11:54:23.822754+00
c728065f-53bc-48d6-ab7f-40cf70513644,refresh_20260725b_gates_all_minus_2,gates_all_minus_2,full,41,41,completed,2026-07-25 11:56:11.240822+00,2026-07-25 11:57:26.476993+00,,,2026-07-25 11:56:11.283294+00
2fed44e3-abb6-435a-8d2c-45b52d2fd09d,refresh_20260725b_gates_all_minus_3,gates_all_minus_3,full,41,41,completed,2026-07-25 11:57:39.179289+00,2026-07-25 11:58:53.330316+00,,,2026-07-25 11:57:39.222324+00
39b17296-a7b5-47f4-a5ba-5190c5107540,refresh_20260725b_gates_all_minus_4,gates_all_minus_4,full,41,41,completed,2026-07-25 11:59:05.898723+00,2026-07-25 12:00:29.476643+00,,,2026-07-25 11:59:05.945969+00
f4dce70b-0655-4c17-b875-02b5ef393bda,refresh_20260725b_gates_all,gates_all,full,41,41,completed,2026-07-25 12:00:42.718655+00,2026-07-25 12:02:10.968488+00,,,2026-07-25 12:00:42.760278+00
035ff35a-5070-49c8-8e75-71915c6a8484,refresh_20260725b_41q_graph_on,gates_all,full,41,41,completed,2026-07-25 12:02:24.216891+00,2026-07-25 12:03:42.437649+00,,,2026-07-25 12:02:24.263758+00
b8baf0c5-1522-4ac4-a083-c63b91f6f03e,refresh_20260725b_41q_graph_off,gates_all,full,41,41,completed,2026-07-25 12:03:55.354333+00,2026-07-25 12:04:30.395693+00,,,2026-07-25 12:03:55.399177+00
458ebeb6-0490-40b0-9e9c-cde4be8f8b72,refresh_20260725b_mh_graph_on,gates_all,full,6,6,completed,2026-07-25 12:04:43.39887+00,2026-07-25 12:04:44.421587+00,,,2026-07-25 12:04:43.437289+00
2139cb83-607e-4b17-9683-8bd291a226e2,refresh_20260725b_mh_graph_off,gates_all,full,6,6,completed,2026-07-25 12:04:57.154585+00,2026-07-25 12:04:57.814614+00,,,2026-07-25 12:04:57.199066+00
