id,run_name,config_name,run_type,total_questions,completed_questions,status,started_at,finished_at,created_by,notes,created_at
8f0a13b5-8f0e-4466-99fb-c1e328d9857b,refresh_20260725c_gates_none,gates_none,full,41,41,completed,2026-07-25 13:22:21.145378+00,2026-07-25 13:24:11.401384+00,,,2026-07-25 13:22:21.19207+00
cc961e5b-4dc5-4206-b216-79d886b09a4b,refresh_20260725c_gates_1,gates_1,full,41,41,completed,2026-07-25 13:24:24.669525+00,2026-07-25 13:25:39.255671+00,,,2026-07-25 13:24:24.712614+00
e24f7cd4-4e6f-4299-9035-86891f04f49a,refresh_20260725c_gates_1_2,gates_1_2,full,41,41,completed,2026-07-25 13:25:52.832196+00,2026-07-25 13:27:06.315125+00,,,2026-07-25 13:25:52.8788+00
7b110d6f-1b72-49c6-84b9-5af8defcbd99,refresh_20260725c_gates_1_2_3,gates_1_2_3,full,41,41,completed,2026-07-25 13:27:19.449224+00,2026-07-25 13:28:41.554609+00,,,2026-07-25 13:27:19.491466+00
b64edf9d-8251-44f4-849e-48112d255bac,refresh_20260725c_gates_1_2_3_4,gates_1_2_3_4,full,41,41,completed,2026-07-25 13:29:31.778471+00,2026-07-25 13:30:49.440156+00,,,2026-07-25 13:29:31.821083+00
8d240f05-f28f-4fe1-a899-00fc32fb5a42,refresh_20260725c_gates_all_minus_1,gates_all_minus_1,full,41,41,completed,2026-07-25 13:31:02.542596+00,2026-07-25 13:32:41.65267+00,,,2026-07-25 13:31:02.589569+00
59264060-31f0-4d41-a51e-2461df67c9ef,refresh_20260725c_gates_all_minus_2,gates_all_minus_2,full,41,41,completed,2026-07-25 13:32:54.672035+00,2026-07-25 13:34:18.651594+00,,,2026-07-25 13:32:54.711582+00
283d0ab0-8c05-474d-9df5-61485b636f32,refresh_20260725c_gates_all_minus_3,gates_all_minus_3,full,41,41,completed,2026-07-25 13:34:31.629899+00,2026-07-25 13:35:59.597027+00,,,2026-07-25 13:34:31.674616+00
5db61806-94dd-4e25-9ca1-6fd8c7d21eba,refresh_20260725c_gates_all_minus_4,gates_all_minus_4,full,41,41,completed,2026-07-25 13:36:12.701239+00,2026-07-25 13:37:43.246356+00,,,2026-07-25 13:36:12.740709+00
0db74cf8-fcc3-4661-b9ec-254b34c04c03,refresh_20260725c_gates_all,gates_all,full,41,41,completed,2026-07-25 13:37:56.23721+00,2026-07-25 13:39:23.321937+00,,,2026-07-25 13:37:56.279023+00
ae868df1-c03e-4b65-b8e2-de76243b2458,refresh_20260725c_41q_graph_on,gates_all,full,41,41,completed,2026-07-25 13:39:36.21487+00,2026-07-25 13:41:10.202234+00,,,2026-07-25 13:39:36.259972+00
d0837437-8ca4-4cab-a954-03ba795623f7,refresh_20260725c_41q_graph_off,gates_all,full,41,41,completed,2026-07-25 13:41:23.644042+00,2026-07-25 13:43:00.816655+00,,,2026-07-25 13:41:23.685514+00
439fd481-791b-49d7-98d8-99aa65006055,refresh_20260725c_mh_graph_on,gates_all,full,6,6,completed,2026-07-25 13:43:14.186763+00,2026-07-25 13:43:36.640125+00,,,2026-07-25 13:43:14.227397+00
b7a17499-449d-4f59-ab18-e53c3e580bbe,refresh_20260725c_mh_graph_off,gates_all,full,6,6,completed,2026-07-25 13:43:49.553817+00,2026-07-25 13:44:09.275974+00,,,2026-07-25 13:43:49.599296+00
