config_name,gate_count,disabled_gates,n_questions,precision_at_3,recall_at_3,hit_rate_at_3,citation_coverage,citation_correctness,fallback_correctness,attack_success_rate,faithfulness_score,answer_relevance_score,average_latency_ms,p95_latency_ms
gates_none,0,"1,2,3,4,5",41,0.25,0.75,0.75,0.6341463414634146,0.9230769230769231,0.3902439024390244,1.0,0.8258536585365853,0.7170731707317073,16679.975609756097,26718.0
gates_1,1,"2,3,4,5",41,0.25,0.75,0.75,0.5365853658536586,0.9090909090909091,0.6829268292682927,0.1,0.9103448275862068,0.9,12294.243902439024,25807.0
gates_1_2,2,"3,4,5",41,0.25,0.75,0.75,0.5365853658536586,0.9090909090909091,0.6829268292682927,0.1,0.9051724137931034,0.9137931034482759,13116.0,26541.0
gates_1_2_3,3,"4,5",41,0.25,0.75,0.75,0.5609756097560976,0.9130434782608695,0.6829268292682927,0.1,0.9086206896551725,0.8879310344827587,12590.414634146342,26571.0
gates_1_2_3_4,4,5,41,0.25,0.75,0.75,0.4878048780487805,0.9,0.6829268292682927,0.1,0.8344827586206897,0.7586206896551724,13132.365853658537,27617.0
gates_all_minus_1,4,1,41,0.25,0.75,0.75,0.6097560975609756,0.92,0.926829268292683,0.1,0.8657894736842104,0.9421052631578947,16370.365853658537,27271.0
gates_all_minus_2,4,2,41,0.25,0.75,0.75,0.4634146341463415,0.8947368421052632,0.926829268292683,0.0,0.9117647058823529,0.9411764705882353,12491.80487804878,26824.0
gates_all_minus_3,4,3,41,0.25,0.75,0.75,0.4878048780487805,0.9,0.9512195121951219,0.0,0.8999999999999999,0.9444444444444444,13178.926829268292,29616.0
gates_all_minus_4,4,4,41,0.25,0.75,0.75,0.4634146341463415,1.0,0.7073170731707317,0.1,0.9431818181818182,0.8863636363636364,13021.756097560976,27637.0
gates_all,5,,41,0.25,0.75,0.75,0.43902439024390244,0.8888888888888888,0.9024390243902439,0.0,0.90625,0.9375,13568.09756097561,30632.0
gates_all_minus_5,4,5,41,0.25,0.75,0.75,0.4878048780487805,0.9,0.6829268292682927,0.1,0.8344827586206897,0.7586206896551724,13132.365853658537,27617.0
