id,run_name,config_name,run_type,total_questions,completed_questions,status,started_at,finished_at,created_by,notes,created_at
5dac7906-b73c-42bd-b9e7-d4429b29e788,refresh_20260727_gates_none,gates_none,full,41,41,completed,2026-07-27 04:16:04.876744+00,2026-07-27 04:20:30.005225+00,,,2026-07-27 04:16:04.921192+00
6a5742df-8adf-43f7-b5e8-a1c26978c76c,refresh_20260727_gates_1,gates_1,full,41,41,completed,2026-07-27 04:20:44.125387+00,2026-07-27 04:23:54.809689+00,,,2026-07-27 04:20:44.173584+00
41384f32-a277-4578-9b35-0408d8f7ce68,refresh_20260727_gates_1_2,gates_1_2,full,41,41,completed,2026-07-27 04:24:08.575867+00,2026-07-27 04:27:31.113397+00,,,2026-07-27 04:24:08.621921+00
ba3d5410-e711-47cf-9877-057c3b444768,refresh_20260727_gates_1_2_3,gates_1_2_3,full,41,41,completed,2026-07-27 04:27:44.753557+00,2026-07-27 04:31:00.638869+00,,,2026-07-27 04:27:44.795788+00
32a7e37b-7faa-4f3d-a1a2-7d8a41d5c8af,refresh_20260727_gates_1_2_3_4,gates_1_2_3_4,full,41,41,completed,2026-07-27 04:31:14.089514+00,2026-07-27 04:34:38.677697+00,,,2026-07-27 04:31:14.135306+00
9b39e413-4944-430e-8c2b-fabc3be4f7a2,refresh_20260727_gates_all_minus_1,gates_all_minus_1,full,41,41,completed,2026-07-27 04:34:52.709695+00,2026-07-27 04:38:57.411665+00,,,2026-07-27 04:34:52.751272+00
afc9e48b-e4b6-4486-ba2f-617f9b1c4962,refresh_20260727_gates_all_minus_2,gates_all_minus_2,full,41,41,completed,2026-07-27 04:39:11.496016+00,2026-07-27 04:42:16.240081+00,,,2026-07-27 04:39:11.53728+00
0cfc8e87-c066-45bb-b440-278781dd2dc9,refresh_20260727_gates_all_minus_3,gates_all_minus_3,full,41,41,completed,2026-07-27 04:42:30.050615+00,2026-07-27 04:45:45.342307+00,,,2026-07-27 04:42:30.093912+00
50ca01ad-9c93-4512-a84d-4abe12a63d05,refresh_20260727_gates_all_minus_4,gates_all_minus_4,full,41,41,completed,2026-07-27 04:45:59.180766+00,2026-07-27 04:49:18.665745+00,,,2026-07-27 04:45:59.223454+00
7b14a9d4-9f15-4b88-83fa-609de1f39c1e,refresh_20260727_gates_all,gates_all,full,41,41,completed,2026-07-27 04:49:32.429858+00,2026-07-27 04:52:51.517332+00,,,2026-07-27 04:49:32.468751+00
41beb7ed-d548-46df-adbb-9f6e23dcfb50,refresh_20260727_41q_graph_on,gates_all,full,41,41,completed,2026-07-27 04:53:05.172456+00,2026-07-27 04:56:12.208327+00,,,2026-07-27 04:53:05.213017+00
8fbce1ca-1b52-4ab4-8618-265038f5bbbd,refresh_20260727_41q_graph_off,gates_all,full,41,41,completed,2026-07-27 04:56:25.938246+00,2026-07-27 04:59:36.904602+00,,,2026-07-27 04:56:25.984877+00
174cfb0b-1fdf-4511-a245-2afa8fe4d8e1,refresh_20260727_mh_graph_on,gates_all,full,6,6,completed,2026-07-27 04:59:50.698964+00,2026-07-27 05:00:51.570979+00,,,2026-07-27 04:59:50.754263+00
42fbb1ce-f23f-42c2-bb91-c463af8b6315,refresh_20260727_mh_graph_off,gates_all,full,6,6,completed,2026-07-27 05:01:04.704028+00,2026-07-27 05:01:58.763661+00,,,2026-07-27 05:01:04.749302+00
