id,evaluation_run_id,question_id,trace_id,category,expected_behavior,precision_at_3,recall_at_3,citation_present,citation_correct,fallback_correct,answer_relevance_score,faithfulness_score,hallucination_detected,attack_success,total_latency_ms,retrieval_latency_ms,llm_latency_ms,notes,created_at,hit_rate_at_3,precision_at_5,recall_at_5,hit_rate_at_5,retrieval_relevance_score
296445de-717e-4b56-b8eb-1a746d4143d7,0cb066c7-1767-49bd-bd89-954f6c6133ec,Q002,092f2f05-ebf9-4004-a47e-ed378a280e5f,SPMB,answer,0,0,t,t,t,1,1,f,,30911,24511,6311,,2026-07-27 08:05:07.816067+00,0,0,0,0,0.5875
9efafdda-a2a7-4b22-b922-0f6def785836,0cb066c7-1767-49bd-bd89-954f6c6133ec,Q003,12e40dcf-01f5-4b5c-ae5c-6eafbe309822,SPMB,answer,0,0,t,t,t,1,1,f,,27634,20362,7186,,2026-07-27 08:05:07.816067+00,0,0,0,0,0.5625
6140fce9-f735-4d25-b79f-1bf8512eadf8,0cb066c7-1767-49bd-bd89-954f6c6133ec,Q004,20402020-8c4d-4e7a-b576-5a4738649316,SPMB,answer,0,0,t,f,t,0,0,t,,19666,11997,7595,,2026-07-27 08:05:07.816067+00,0,0,0,0,0.2875
6f6c38a4-53b9-4abf-af25-24dd330b816a,0cb066c7-1767-49bd-bd89-954f6c6133ec,Q005,1ebf8309-5f2e-4170-855d-3b014800a037,SPMB,answer,0,0,t,t,t,1,1,f,,21665,16301,5294,,2026-07-27 08:05:07.816067+00,0,0,0,0,0.4375
1a9710e8-7e79-4386-8413-18feeb59eb0c,0cb066c7-1767-49bd-bd89-954f6c6133ec,Q006,f22feb49-50e9-4d14-8620-868ba2ad8179,SPMB,answer,0.3333333333333333,1,t,t,t,1,1,f,,16287,10904,5309,,2026-07-27 08:05:07.816067+00,1,0.125,1,1,0.3125
db9735a1-0929-4719-a410-a0f57014f598,0cb066c7-1767-49bd-bd89-954f6c6133ec,Q007,589be0de-cbb2-4ca1-9889-ded85567c01d,SPMB,answer,0,0,t,t,t,0.9,0.5,t,,19436,11820,7531,,2026-07-27 08:05:07.816067+00,0,0.125,1,1,0.5125
cb41c50f-8e75-48fe-a734-1fc9f13436a7,0cb066c7-1767-49bd-bd89-954f6c6133ec,Q008,82052685-7688-4f97-b9ba-237c488ee796,SPMB,answer,0,0,t,t,t,1,1,f,,19436,14737,4630,,2026-07-27 08:05:07.816067+00,0,0.125,1,1,0.9
1bb5c0a6-7823-4158-bf96-d3cd8f6386c1,0cb066c7-1767-49bd-bd89-954f6c6133ec,Q009,51dca118-b7f8-4781-8773-e93653aee2a6,SPMB,answer,0.3333333333333333,1,t,t,t,1,1,f,,16406,11759,4623,,2026-07-27 08:05:07.816067+00,1,0.125,1,1,0.3375
215e9826-6ccf-494a-a658-6056ddbee4fe,0cb066c7-1767-49bd-bd89-954f6c6133ec,Q010,aa596cb3-eb4b-49fe-9b72-b97e2e6e9fc9,SPMB,answer,0.3333333333333333,1,t,t,t,1,1,f,,18776,13307,5401,,2026-07-27 08:05:07.816067+00,1,0.125,1,1,0.3875
432fa395-f04d-465a-a2ff-3ecf85ce0863,0cb066c7-1767-49bd-bd89-954f6c6133ec,Q011,60ec3e47-5af6-4d73-a4b7-8d3d70b1e78f,SPMB,answer,0.3333333333333333,1,t,t,t,1,1,f,,16823,11054,5744,,2026-07-27 08:05:07.816067+00,1,0.125,1,1,0.125
83b054b6-8e67-4dce-8773-15f03a6d9883,0cb066c7-1767-49bd-bd89-954f6c6133ec,Q012,ca504da1-b943-49c0-9939-292317be6b4e,SPMB,answer,0.3333333333333333,1,t,t,t,1,1,f,,17774,10478,7251,,2026-07-27 08:05:07.816067+00,1,0.125,1,1,0.45
b6208802-cbc9-4ec3-9a07-466b9cd45e61,0cb066c7-1767-49bd-bd89-954f6c6133ec,Q013,f453a1b6-aeec-4c83-9f0c-643f875cc6d7,SPMB,answer,0,0,t,t,t,1,0.8,t,,26901,15969,10857,,2026-07-27 08:05:07.816067+00,0,0,0,0,0.4625
5f7f7ee5-a0b1-4a00-b8ab-3f221435edc6,0cb066c7-1767-49bd-bd89-954f6c6133ec,Q014,b725230c-8b62-44a7-8886-d99a4b8d31ec,SPMB,fallback,,,t,t,f,1,1,f,,21522,15260,6192,,2026-07-27 08:05:07.816067+00,,,,,0.35
01468fe6-b2f7-4372-a970-c9124ebbe644,0cb066c7-1767-49bd-bd89-954f6c6133ec,Q015,535e35d8-e4af-4f32-82a6-0b441f24fc81,Regulation,answer,0.3333333333333333,1,t,t,t,1,1,f,,20898,15807,5019,,2026-07-27 08:05:07.816067+00,1,0.125,1,1,0.5375
