Responden,Peran,Jumlah_Skenario_Dicoba
R01,Tidak tercatat oleh sistem,2
R02,Tidak tercatat oleh sistem,2
R03,Tidak tercatat oleh sistem,2
R04,Tidak tercatat oleh sistem,2
R05,Tidak tercatat oleh sistem,2
R06,Tidak tercatat oleh sistem,2
R07,Tidak tercatat oleh sistem,2
R08,Tidak tercatat oleh sistem,2
R09,Tidak tercatat oleh sistem,2
R10,Tidak tercatat oleh sistem,2
R11,Tidak tercatat oleh sistem,2
R12,Tidak tercatat oleh sistem,2
R13,Tidak tercatat oleh sistem,2
R14,Tidak tercatat oleh sistem,2
R15,Tidak tercatat oleh sistem,2
R16,Tidak tercatat oleh sistem,2
R17,Tidak tercatat oleh sistem,2
R18,Tidak tercatat oleh sistem,2
R19,Tidak tercatat oleh sistem,2
R20,Tidak tercatat oleh sistem,2
R21,Tidak tercatat oleh sistem,2
